组数,potential_file,t_min,model,A,beta,C,M,r2,n_points,t_max_used,sigma_noise,resid_mad,mad_ratio,runs_z,runs_p,rho1_bin,bin_excess
80,0.4,0.9,simple,7.970867457108424e-09,0.5006430844041181,1.5878455719137445e-08,,0.0038096808546425054,42,3.0,2.2848964813756437e-08,2.5458182625737467e-08,1.114194136725622,,,-0.06576044971350217,0.2397070976337606
80,0.4,0.9,linear,1.1822538249193425e-08,0.5003717829051113,1.1322890113978942e-08,8.601649734196301e-10,0.0038591009171484725,42,3.0,2.2848964813756437e-08,2.5628609054979845e-08,1.1216529616934723,,,-0.12188106820758797,0.0857358737861192
80,0.4,1.0,simple,9.032577154328834e-09,0.5004773906584434,1.518159778815813e-08,,0.0039013042769542317,40,3.0,2.2848964813756437e-08,2.516075179354331e-08,1.1011768803808144,,,-0.5,0.2180735277571479
80,0.4,1.0,linear,1.4398987073035344e-08,0.5002553356422713,9.003866194360054e-09,1.1224807591783186e-09,0.003965018938194231,40,3.0,2.2848964813756437e-08,2.5571973908196307e-08,1.1191742871782295,,,-0.5,0.25436281990355164
80,0.4,2.0,simple,4.129787641883298e-08,0.5000398652176565,-4.7888986868818286e-09,,0.009017926878704507,20,3.0,2.2848964813756437e-08,2.250274201384087e-08,0.984847331039386,,,,0.0
80,0.4,2.0,linear,1.2856464890787035e-07,0.5000120398825861,-8.887835963232951e-08,1.1446785754437687e-08,0.009268632048638259,20,3.0,2.2848964813756437e-08,2.3199729350653464e-08,1.015351441072107,,,,0.0
80,0.4,3.0,simple,,,,,,0,3.0,2.2848964813756437e-08,,,,,,
80,0.4,3.0,linear,,,,,,0,3.0,2.2848964813756437e-08,,,,,,
80,0.4,4.0,simple,,,,,,0,3.0,2.2848964813756437e-08,,,,,,
80,0.4,4.0,linear,,,,,,0,3.0,2.2848964813756437e-08,,,,,,
80,0.4,5.0,simple,,,,,,0,3.0,2.2848964813756437e-08,,,,,,
80,0.4,5.0,linear,,,,,,0,3.0,2.2848964813756437e-08,,,,,,
81,0.4,0.1,simple,5.146435213819525e-07,0.7866836769586052,1.1876286448337856e-08,,0.9964369193283508,199,10.00063,2.1076327090219595e-08,1.3178924739983367e-08,0.6252951324758576,-2.0124611797498106,0.04417134490844261,0.33445968607316234,0.861119737296054
81,0.4,0.1,linear,4.7651800037309835e-07,0.8177155794046005,5.2394194717330175e-08,-3.891218528998265e-09,0.9966750098315796,199,10.00063,2.1076327090219595e-08,1.850486183266398e-08,0.8779927239434002,-1.2643908456352868,0.2060897769851392,0.3294176399918187,0.4702566522134071
81,0.4,0.2,simple,5.47850449582244e-07,0.7205242691754831,-1.4087405038062358e-08,,0.9972338938337948,197,10.00063,2.1076327090219595e-08,1.8556878108414106e-08,0.8804607192220588,-0.6708203932499369,0.5023349543605021,0.15051463661331804,0.031224509343369317
81,0.4,0.2,linear,5.504811923502632e-07,0.7181531617607484,-1.6681474517365006e-08,1.8842303840729336e-10,0.9972345179311335,197,10.00063,2.1076327090219595e-08,1.850765327799369e-08,0.8781251685253124,-0.6708203932499369,0.5023349543605021,-0.027227333528628175,0.04234599781344945
81,0.4,0.3,simple,5.491555166740678e-07,0.7166187677194276,-1.5500174906210337e-08,,0.9959462874439731,195,10.00063,2.1076327090219595e-08,1.840800112403133e-08,0.8733970129251556,-1.2643908456352868,0.2060897769851392,0.4561536157331951,0.04015122635929877
