potential_file,t_min,model,A,beta,C,M,r2,beta_spread,n_points,t_max_used,sigma_noise,resid_mad,mad_ratio,runs_z,runs_p,rho1_bin,bin_excess,dataset,group
0.4,0.6,simple,2.1620755966095545e-09,0.29846134088321796,2.817610314687101e-08,,0.0003139304691522904,0.4927568781060079,48,3.0,2.0682249876686975e-08,2.0600731143864444e-08,0.9960585171676889,,,-0.4812834822299027,0.27685276173931694,ca115,79
0.4,0.6,linear,-1.0097074560255813e-09,0.7956227825661214,3.2223582854045596e-08,-8.082846519923434e-10,0.0004409237958037382,0.4964244202142049,48,3.0,2.0682249876686975e-08,2.0620328558167174e-08,0.9970060646743468,,,-0.5538225841099315,0.18838343446931774,ca115,79
0.4,0.7,simple,1.7994410769355824e-09,0.2990677997216034,2.8456182364080263e-08,,0.000174032262796886,0.49685969603773533,46,3.0,2.0682249876686975e-08,2.0835706742777393e-08,1.007419737552992,,,-0.005828841315060197,0.2638546980693289,ca115,79
0.4,0.7,linear,-1.328808091576077e-09,0.7978634266168698,3.235359900688125e-08,-7.835589592848151e-10,0.0002711832581034912,0.49838428435856263,46,3.0,2.0682249876686975e-08,2.0800552688127626e-08,1.0057200165429778,,,-0.03794936366545021,0.1499319013679398,ca115,79
0.4,0.8,simple,1.407681011849977e-09,0.2994398471537458,2.875504039787176e-08,,8.547391600532972e-05,0.498347010672567,44,3.0,2.0682249876686975e-08,2.103859693390779e-08,1.0172296079655478,,,-0.4261922229978613,0.2399871978060161,ca115,79
0.4,0.8,linear,-1.4581632775174523e-09,0.7987357351955267,3.2229449639864396e-08,-6.979443952210024e-10,0.000145716456510403,0.49908668938201356,44,3.0,2.0682249876686975e-08,2.08698075350553e-08,1.0090685326541644,,,-0.480546199315708,0.24125795170003675,ca115,79
0.4,0.9,simple,8.426137080438821e-10,0.2996520666425865,2.918833120865692e-08,,2.437983542580291e-05,0.4990296406972442,42,3.0,2.0682249876686975e-08,2.115381757057069e-08,1.0228005993881384,,,-0.18064236606952155,0.2108271837166593,ca115,79
0.4,0.9,linear,-1.6061173857167107e-09,0.7991759084416187,3.2091744747300394e-08,-6.054080261361955e-10,6.251356733466551e-05,0.4994211035082583,42,3.0,2.0682249876686975e-08,2.1014262296490188e-08,1.0160530126936267,,,-0.1796643507906323,0.19696377231250944,ca115,79
0.4,1.0,simple,-5.460425878353635e-11,0.7991459800362612,2.9869643065837354e-08,,3.7068065039669307e-07,0.4993761743129701,40,3.0,2.0682249876686975e-08,2.1163444559243053e-08,1.0232660704432588,,,-0.5,0.3315372423627586,ca115,79
0.4,1.0,linear,-1.884145057459081e-09,0.7994209811522193,3.205420545544766e-08,-5.292761729211529e-10,2.8104582235788378e-05,0.49960021802273613,40,3.0,2.0682249876686975e-08,2.1076748886214143e-08,1.0190742792432774,,,-0.5,0.3165580577220902,ca115,79
0.4,2.0,simple,-2.34340300599368e-08,0.7999667436469192,4.074747565942096e-08,,0.0045426066025351375,0.4999755509001835,20,3.0,2.0682249876686975e-08,2.281681341114031e-08,1.103207511135402,,,,0.0,ca115,79
0.4,2.0,linear,-1.8719010031421045e-08,0.7999605715022619,3.6559873149763214e-08,7.60050272236099e-10,0.004544258647475985,0.49997320230674397,20,3.0,2.0682249876686975e-08,2.2821767851290386e-08,1.1034470614831453,,,,0.0,ca115,79
0.4,3.0,simple,,,,,,,0,3.0,2.0682249876686975e-08,,,,,,,ca115,79
0.4,3.0,linear,,,,,,,0,3.0,2.0682249876686975e-08,,,,,,,ca115,79
0.4,4.0,simple,,,,,,,0,3.0,2.0682249876686975e-08,,,,,,,ca115,79
0.4,4.0,linear,,,,,,,0,3.0,2.0682249876686975e-08,,,,,,,ca115,79
0.4,5.0,simple,,,,,,,0,3.0,2.0682249876686975e-08,,,,,,,ca115,79
0.4,5.0,linear,,,,,,,0,3.0,2.0682249876686975e-08,,,,,,,ca115,79
0.4,0.1,simple,2.1588746075054945e-08,1.4999850147237337,6.855435246521866e-10,,0.7710764441360787,9.86212367424244e-05,58,3.0,2.2848964813756437e-08,3.198904137110246e-08,1.4000214728259002,,,-0.08408226380155082,0.8575673326323481,ca115,80
0.4,0.1,linear,2.428737888266415e-08,1.497229744816944,-4.6229197904509436e-08,2.7194325792322066e-08,0.7971088251346335,0.06280778384294439,58,3.0,2.2848964813756437e-08,2.9227140426925317e-08,1.2791450582185167,,,-0.6495113214578511,0.4285687870687583,ca115,80
0.4,0.2,simple,3.0685448869520565e-09,1.3875109069508627,1.9726309065495066e-08,,0.08759685326985989,0.5173587728563181,56,3.0,2.2848964813756437e-08,2.3701566992410433e-08,1.037314696118779,,,-0.09758635489892813,0.11505318556398604,ca115,80
0.4,0.2,linear,1.0086960824433423e-08,0.8078512730188773,8.562313909146245e-09,3.259736622489404e-09,0.08403870247351963,0.4493937851696148,56,3.0,2.2848964813756437e-08,2.3809816209083655e-08,1.042052294410674,,,-0.5591731585586253,0.3069143375467218,ca115,80
0.4,0.3,simple,3.944130209612529e-09,1.0976745010538451,1.925327063050252e-08,,0.0343445820536995,0.75886448571139,54,3.0,2.2848964813756437e-08,2.487796130638299e-08,1.0888003683827714,,,-0.6660219105359635,0.01740603047950492,ca115,80
0.4,0.3,linear,9.499557243168942e-09,0.8103198463048664,9.704013408456145e-09,2.9063575091761837e-09,0.03570381396250344,0.4986620171639289,54,3.0,2.2848964813756437e-08,2.3566368432336587e-08,1.0313976420563364,,,-0.379014027061693,0.4659240255735611,ca115,80
0.4,0.4,simple,3.398329880668206e-09,0.8238266948944387,1.9543202649702782e-08,,0.00982234758037237,0.5141651407178168,52,3.0,2.2848964813756437e-08,2.5976157903337766e-08,1.1368636660378841,,,-0.168799420560213,0.0042856173362331015,ca115,80
