file,potential,t_min,model,A,beta,C,M,r2,n_points,t_max_used,sigma_noise,resid_mad,mad_ratio,runs_z,runs_p,rho1_bin,bin_excess
Ca2,0.4,5.0,linear,1.5997928256029064e-06,0.5518164052691916,1.1361796418344749e-07,1.75750148449437e-09,0.9995917517647219,756,42.79583433936073,3.938675422298416e-09,2.742824039133977e-09,0.6963823481380959,-4.270783235287791,1.9478766497522865e-05,0.7236549009961132,0.2777341312931339
Ca3,0.4,0.1,simple,1.47938858031134e-06,0.6315969579472692,2.3249571566663933e-07,,0.9995693158763032,879,44.0447337182106,3.742632754220242e-09,7.674215212770278e-09,2.0504857721123537,-5.781780898363965,7.391393514175807e-09,0.8820391560982696,8.042097082158158
Ca3,0.4,0.1,linear,1.526042447569638e-06,0.6176178775308181,1.9673100647274067e-07,7.564218688588258e-10,0.999708770668509,879,44.0447337182106,3.742632754220242e-09,3.986540132748347e-09,1.0651700005171685,-5.794904119790238,6.836022431653482e-09,0.6482939951974517,3.473181372644963
Ca3,0.4,0.2,simple,1.4836644625327244e-06,0.6265800200201744,2.284697016292197e-07,,0.9995214388728325,877,44.0447337182106,3.742632754220242e-09,8.191215392425268e-09,2.188623872643862,-6.092781337884765,1.1096558856746974e-09,0.9181952891625574,8.410131466780165
Ca3,0.4,0.2,linear,1.568723850871461e-06,0.5938463391336808,1.5935874917305837e-07,1.261597414486232e-09,0.9999542408637291,877,44.0447337182106,3.742632754220242e-09,2.8762331561789406e-09,0.768505312987405,-5.794904119790238,6.836022431653482e-09,0.8789350251172854,1.1599008737728718
Ca3,0.4,0.3,simple,1.4824330928062171e-06,0.6343545441555805,2.3372667900597819e-07,,0.9994929864074517,875,44.0447337182106,3.742632754220242e-09,7.486157393389749e-09,2.0002383041585525,-6.097718331480454,1.0759311188599673e-09,0.9107799799802978,7.905141478661064
Ca3,0.4,0.3,linear,1.567929210419679e-06,0.5944117312768555,1.6018483215625429e-07,1.2514705441364994e-09,0.999942109402132,875,44.0447337182106,3.742632754220242e-09,2.8492153990020322e-09,0.761286395462985,-5.796513357145578,6.770779449663899e-09,0.888455453079115,1.2189877163458323
Ca3,0.4,0.4,simple,1.4831708769265584e-06,0.6399202135701083,2.371274708188215e-07,,0.9994499551373585,873,44.0447337182106,3.742632754220242e-09,6.992335918867492e-09,1.8682933587279815,-5.790035296405753,7.037163457002425e-09,0.8988817258697427,7.384991442488894
Ca3,0.4,0.4,linear,1.5698562273939742e-06,0.5926938896933369,1.578545005087083e-07,1.2785210795305426e-09,0.9999331933691818,873,44.0447337182106,3.742632754220242e-09,2.893144874817351e-09,0.7730239819963641,-5.796513357145578,6.770779449663899e-09,0.8667417685154374,1.0942689669888415
Ca3,0.4,0.5,simple,1.4847964818984572e-06,0.6451086136984491,2.4011002851528365e-07,,0.9994139613215859,871,44.0447337182106,3.742632754220242e-09,6.868446980116528e-09,1.835191276080074,-5.790035296405753,7.037163457002425e-09,0.8900699651218988,7.061449290497743
Ca3,0.4,0.5,linear,1.5712336385996768e-06,0.591162321250036,1.5589139053662098e-07,1.3001730084562664e-09,0.9999236284326384,871,44.0447337182106,3.742632754220242e-09,2.9095174160488095e-09,0.7773985873361471,-5.796513357145578,6.770779449663899e-09,0.8332224458652667,0.9741771501563863
Ca3,0.4,0.6,simple,1.4871346392925905e-06,0.6500954795662239,2.4281701033352325e-07,,0.9993848612348508,869,44.0447337182106,3.742632754220242e-09,7.056532907093909e-09,1.8854462541473966,-5.781780898363965,7.391393514175807e-09,0.8825005269041767,6.893579198758863
Ca3,0.4,0.6,linear,1.572133200386793e-06,0.589958233530452,1.5440772782387753e-07,1.3159385063518674e-09,0.999913921734078,869,44.0447337182106,3.742632754220242e-09,2.9569449435098787e-09,0.7900708238540339,-5.482352261331051,4.1970746228353535e-08,0.8226829018751641,0.9192001507591099
Ca3,0.4,0.7,simple,1.4899388315857814e-06,0.6446149981006997,2.389234549705384e-07,,0.9993153743206171,867,44.0447337182106,3.742632754220242e-09,6.514012429814315e-09,1.7404893446916556,-6.097718331480454,1.0759311188599673e-09,0.924180394795216,7.385666877052729
Ca3,0.4,0.7,linear,1.5733550887454258e-06,0.5880498614528119,1.5211806458618881e-07,1.339561507054659e-09,0.9999053333185327,867,44.0447337182106,3.742632754220242e-09,2.964659055684786e-09,0.7921319697589344,-5.489177763350465,4.038090733130293e-08,0.7614973316660985,0.8186742914098599
