file,potential,t_min,model,A,beta,C,M,r2,n_points
Ca9,0.4,0.7,simple,1.477282435786351e-06,0.6779680432266206,2.480856973468874e-07,,0.9968950946317546,2387
Ca9,0.4,0.7,linear,1.5416535821173502e-06,0.5856295026347618,1.5744515162227803e-07,6.00127408811789e-10,0.9998274169343906,2387
Ca9,0.4,0.8,simple,1.4863022468522066e-06,0.6838759158508443,2.497357855998154e-07,,0.9967882732347388,2385
Ca9,0.4,0.8,linear,1.5413866123790721e-06,0.5848431830525711,1.5683668382219472e-07,6.027118421772874e-10,0.9998137539482705,2385
Ca9,0.4,0.9,simple,1.4954679981262141e-06,0.6894686574464739,2.512298259645791e-07,,0.9966868723969542,2383
Ca9,0.4,0.9,linear,1.5410320681899393e-06,0.583999508409646,1.561966392154628e-07,6.053803683780927e-10,0.9998004645232684,2383
Ca9,0.4,1.0,simple,1.5049411332548815e-06,0.6949098357639695,2.526251672242744e-07,,0.9965957510580913,2381
Ca9,0.4,1.0,linear,1.5406903140393747e-06,0.5833141762358712,1.556867825030795e-07,6.074671380048903e-10,0.9997871957688758,2381
Ca9,0.4,2.0,simple,1.6112069803076039e-06,0.7437623981424454,2.631856347928345e-07,,0.9959649970074104,2361
Ca9,0.4,2.0,linear,1.5381896604619706e-06,0.5803892598570121,1.5370844161424519e-07,6.149074545263288e-10,0.9996537818125981,2361
Ca9,0.4,3.0,simple,1.7413724999394193e-06,0.7891751607220739,2.7072144723151865e-07,,0.9956569361855359,2341
Ca9,0.4,3.0,linear,1.5444829757126899e-06,0.5856637700227932,1.5693377916929252e-07,6.037453639235498e-10,0.9995180587734553,2341
Ca9,0.4,4.0,simple,1.8904604671113033e-06,0.831550842941158,2.763837580626634e-07,,0.9954868055229543,2321
Ca9,0.4,4.0,linear,1.558432380283039e-06,0.5953473708194467,1.6235755411177905e-07,5.857437959244083e-10,0.999381021937733,2321
Ca9,0.4,5.0,simple,2.062352442396516e-06,0.8731452448476474,2.8106849191253617e-07,,0.9953814539559436,2301
Ca9,0.4,5.0,linear,1.5793645289978892e-06,0.6078282097963716,1.6874449537180497e-07,5.651186732826188e-10,0.9992411012689936,2301
Ca10,0.4,0.1,simple,1.4240723404774474e-06,0.6705843997096977,2.564220567030948e-07,,0.9968466713110851,2399
Ca10,0.4,0.1,linear,1.4934921369617085e-06,0.6457870856731133,2.142568720714749e-07,3.94738980651735e-10,0.9977358338120885,2399
Ca10,0.4,0.2,simple,1.4182833969050695e-06,0.6503287274928655,2.48440579994336e-07,,0.9969155405251374,2397
Ca10,0.4,0.2,linear,1.5338718044775348e-06,0.5935873643890369,1.6593398080715748e-07,6.609756608120128e-10,0.99986122912242,2397
Ca10,0.4,0.3,simple,1.4259421041126696e-06,0.6626954790899482,2.5299811644814835e-07,,0.9966825037886903,2395
Ca10,0.4,0.3,linear,1.5332624910971178e-06,0.5948192477071742,1.6708175323123742e-07,6.552235728284919e-10,0.999831768379758,2395
Ca10,0.4,0.4,simple,1.434947959305783e-06,0.6728069745504098,2.56357148909044e-07,,0.9964840961402276,2393
