Ep,blank_group,has_peak,ip_pearson,m,noise,nu,peak_over_noise,r2,sample_group,scan,sd_peak_height,sigma
-0.07985032818787566,28,True,1.337546522165143e-06,12.115583845105022,4.8230698884177645e-08,-62.47794312445102,34.99680349477934,0.9100044806644901,53,2,1.1584629413567857e-06,0.12232202024165362
-0.07070578931538266,29,True,1.3186508776771094e-06,11.432032690794086,3.7302602116873645e-08,-61.39639890397348,45.55173854046015,0.9070474224304521,54,0,1.1463657560432705e-06,0.11426592360309618
-0.06967909034554573,29,True,1.305871487724828e-06,11.589683510952735,5.1481142772226725e-08,-62.427195627759524,32.963887462109554,0.900799556751423,54,1,1.1405755747998323e-06,0.11325125479932197
-0.063472023091149,29,True,1.2997563876540794e-06,10.9807321280302,4.8638092892790803e-08,-61.81244262046637,35.20446233147125,0.8984892014272061,54,2,1.1359910962084566e-06,0.10616874513807628
-0.056463099805227145,30,True,1.2953186577265513e-06,10.335273290809095,4.8888641903971465e-08,-60.48830957246921,34.58466118752959,0.8989391300087374,55,0,1.1323391598569646e-06,0.09994970823816607
-0.06304390462525938,30,True,1.2916535630342102e-06,11.303973853947456,2.9350800041455286e-08,-62.227635206287886,58.71673241302924,0.8981474677636782,55,1,1.1352055450583505e-06,0.10835600356471076
-0.06705158667526023,30,True,1.291399368285709e-06,11.903026415466746,3.835480421400237e-08,-63.73675281723386,44.32875780696503,0.8961216760511926,55,2,1.1386565525718118e-06,0.11286855764537063
-0.11426336169070357,31,True,1.442121026417655e-06,15.39749842232779,3.001326294989768e-08,-66.66837346420992,55.07670160155315,0.9384014122442853,56,0,1.2370268564353387e-06,0.16130044804394383
-0.08198179815136535,31,True,1.4067510698283515e-06,12.585786642184123,3.2939089504863744e-08,-56.59207506919951,50.178501173066365,0.9255671323685487,56,1,1.2120820768721216e-06,0.14109654588035558
-0.0869540642234233,31,True,1.3912293783045248e-06,12.923425782361274,4.5944424065309245e-08,-63.684632289838035,36.56174656366472,0.9190087696349671,56,2,1.2053202096013007e-06,0.13082786736086816
-0.08321285677273815,32,True,1.3946511768083958e-06,12.539126239245336,4.006490526426211e-08,-63.46556012750341,41.90262363590294,0.9212313904549572,57,0,1.2091125572943422e-06,0.12631415126230772
-0.07657318582916571,32,True,1.3974952254568026e-06,11.822466683262904,2.4882593035208335e-08,-61.22043298768827,67.35068733954074,0.9205795413661956,57,1,1.2101524884292277e-06,0.12084358632062242
-0.07952054456692054,32,True,1.3974219992522678e-06,12.249373272836804,2.297736080075738e-08,-62.888785035650656,73.11754392542429,0.9199536759265745,57,2,1.2132043366098817e-06,0.12298705519008613
-0.07626541435392233,33,True,1.402965639168839e-06,11.83104240837439,4.3761814972229286e-08,-62.316824168743906,38.6316729078148,0.9199050992605077,58,0,1.2167239240595268e-06,0.11901304366759813
-0.07511904501428512,33,True,1.4107713051763327e-06,11.652266097734552,3.308205690557732e-08,-61.72397588707416,51.98516158654415,0.9213746527755523,58,1,1.22223261969446e-06,0.11775812259673424
-0.0842292174043539,33,True,1.4091537147798738e-06,12.965032276470387,2.6942287801718987e-08,-64.45309399662486,63.33633419434301,0.9221951181884729,58,2,1.2269587701746518e-06,0.12897725381079017
-0.07582724667294731,34,True,1.4206705082297435e-06,11.802618739740954,4.001015122001644e-08,-61.52801825541298,42.957063126271805,0.9234397013721498,59,0,1.2313072226582853e-06,0.1202297261423696
-0.07951595062901633,34,True,1.4251849909610733e-06,12.19077969798893,4.118508191586731e-08,-62.78883570067335,42.07403758552056,0.9243426764523136,59,1,1.2361693840086897e-06,0.12287173025280118
-0.0776937850176061,34,True,1.4293404987489268e-06,11.964557657059096,4.957752833328068e-08,-62.004998401321814,34.79644138591035,0.9250419371610253,59,2,1.238694292897168e-06,0.12143632415017513
-0.07680915925234558,35,True,1.4375394614914444e-06,11.792579470162694,4.2751124759282514e-08,-61.65052243202328,39.74278881146404,0.9264196029842109,60,0,1.2440588431843738e-06,0.12043035265330782
-0.07918151245372977,35,True,1.4461812424555402e-06,12.01540168541052,5.085567915347526e-08,-61.79202423643571,33.6934210506982,0.9275422839086346,60,1,1.2509595574216711e-06,0.12315290015998348
-0.07254970464012228,35,True,1.4484263376239508e-06,11.945608891683403,3.369584952033518e-08,-55.63932196524587,51.32550832345494,0.9294188333241024,60,2,1.2543978661533705e-06,0.13306116224846243
