E,current_mean,current_sd,day,n_replicates,polished
-0.03467696,2.2546539999999998e-07,2.114909370897749e-08,Y,10,False
-0.0297231,2.408816e-07,2.278842771232803e-08,Y,10,False
-0.02476925,2.549824e-07,2.3283191534762683e-08,Y,10,False
-0.0198154,2.696378e-07,2.5116669306790393e-08,Y,10,False
-0.01486155,2.8346639999999995e-07,2.5435190448580404e-08,Y,10,False
-0.009907701,2.974923e-07,2.7483027590981797e-08,Y,10,False
-0.00495385,3.1121749999999993e-07,2.7640191988599985e-08,Y,10,False
0.0,3.2408790000000004e-07,2.9785159803909818e-08,Y,10,False
0.00495385,3.376815e-07,2.996821215610523e-08,Y,10,False
0.009907701,3.504296e-07,3.2121617242390934e-08,Y,10,False
0.01486155,3.635818e-07,3.222317217228069e-08,Y,10,False
0.0198154,3.7567270000000003e-07,3.437596165620518e-08,Y,10,False
0.02476925,3.8841139999999997e-07,3.454246658245469e-08,Y,10,False
0.0297231,3.9992879999999994e-07,3.65187244325124e-08,Y,10,False
0.03467696,4.1228250000000005e-07,3.678774533047656e-08,Y,10,False
0.0396308,4.231517e-07,3.860205253048944e-08,Y,10,False
0.04458466,4.351296e-07,3.907945581390701e-08,Y,10,False
0.0495385,4.4559510000000003e-07,4.054265095605422e-08,Y,10,False
0.05449236,4.568966e-07,4.119438648435274e-08,Y,10,False
0.05944621,4.6656339999999986e-07,4.24448776001167e-08,Y,10,False
0.06440006,4.773482e-07,4.333828507554135e-08,Y,10,False
0.06935391,4.865453e-07,4.41077149791029e-08,Y,10,False
0.07430775,4.965128999999999e-07,4.523980099045038e-08,Y,10,False
0.07926161,5.051555e-07,4.569323597949457e-08,Y,10,False
0.08421546,5.146064e-07,4.709778277206309e-08,Y,10,False
0.08916931,5.226481000000001e-07,4.713326199063435e-08,Y,10,False
0.09412316,5.304455000000001e-07,4.864250351344546e-08,Y,10,False
0.09907701,5.382899e-07,4.8347785403608034e-08,Y,10,False
0.1040309,5.463783e-07,5.012720872396104e-08,Y,10,False
0.1089847,5.536307e-07,4.953720852954877e-08,Y,10,False
0.1139386,5.609867e-07,5.145894019086156e-08,Y,10,False
0.1188924,5.676474e-07,5.067855669083983e-08,Y,10,False
0.1238463,5.741389e-07,5.249454425927411e-08,Y,10,False
