group,file,model,fit_start_s,fit_end_s,n_points,A,A_se,beta,beta_se,C,C_se,M_linear_drift,M_linear_drift_se,rmse,r2,success,message,time_min_s,time_max_s,current_min_a,current_max_a
等三十秒,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三十秒.csv,beta_plus_linear_drift,2.0,120.0006,2361,0.009481264995234441,2.003541463172856,1.5297664814180977e-05,0.0032327081703363183,-0.00948045582783846,2.0035414633969473,1.895254245783933e-09,2.5750423360426423e-11,1.0416185023999044e-08,0.9876910775183074,True,,0.05063552,120.0006,3.25422e-07,8.342159e-06
等三十秒,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三十秒.csv,beta,5.0,120.0006,2301,6.679049904785334e-07,1.917982371624115e-08,0.12194151757628913,0.004898573102562632,-6.386603593191154e-08,1.970635403646421e-08,,,1.4855862611679157e-08,0.9396943801101602,True,,0.05063552,120.0006,3.25422e-07,8.342159e-06
等三十秒,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等三十秒.csv,beta_plus_linear_drift,5.0,120.0006,2301,0.023892627358832498,1.9532386973950204,3.5201560414423133e-06,0.0002877760253918943,-0.02389200026883471,1.953238697372478,8.77603458205306e-10,1.1571989616343414e-11,9.000408258035894e-09,0.9778646467966307,True,,0.05063552,120.0006,3.25422e-07,8.342159e-06
等两分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等两分钟.csv,beta,0.2,120.0006,2397,1.255346263500493e-06,5.696562052286915e-09,0.4534761173078954,0.0023080294627928453,1.4896319575291708e-07,2.8570359752815465e-09,,,3.778360449501458e-08,0.9732642868267164,True,,0.0506333,120.0006,3.25798e-07,9.574523e-06
等两分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等两分钟.csv,beta_plus_linear_drift,0.2,120.0006,2397,1.640524186662339e-06,8.083996608649183e-09,0.3605586799455588,0.001923715552163349,-1.4881331177658076e-07,6.414028951224829e-09,1.710670194331338e-09,2.7094317809287815e-11,2.1650082810476102e-08,0.9912218272366861,True,,0.0506333,120.0006,3.25798e-07,9.574523e-06
等两分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等两分钟.csv,beta,0.5,120.0006,2391,1.1083811816141642e-06,6.731767757884494e-09,0.3578275675950051,0.003101843319693443,9.11753002659047e-08,4.719040155496745e-09,,,3.787597723769643e-08,0.9565692082109232,True,,0.0506333,120.0006,3.25798e-07,9.574523e-06
等两分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等两分钟.csv,beta_plus_linear_drift,0.5,120.0006,2391,1.8250150152480663e-06,1.8294266402159094e-08,0.21896690572849525,0.002650704369756927,-5.442235171855069e-07,1.7449253002466124e-08,2.1222260465691696e-09,3.293873632660731e-11,2.034741396431006e-08,0.9874660345004783,True,,0.0506333,120.0006,3.25798e-07,9.574523e-06
等两分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等两分钟.csv,beta,1.0,120.0006,2381,9.954263314665143e-07,7.778125074035024e-09,0.28590754091818554,0.003625929300928167,3.994392420674395e-08,6.812539948506193e-09,,,3.3519309978543666e-08,0.94822867122702,True,,0.0506333,120.0006,3.25798e-07,9.574523e-06
等两分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等两分钟.csv,beta_plus_linear_drift,1.0,120.0006,2381,2.6093946331710196e-06,6.719823073209192e-08,0.10472316503222291,0.0030694886119755896,-1.509599465223651e-06,6.709181768100327e-08,2.315643053748715e-09,3.390758646468542e-11,1.6333614401514672e-08,0.9877068333330755,True,,0.0506333,120.0006,3.25798e-07,9.574523e-06
等两分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等两分钟.csv,beta,2.0,120.0006,2361,9.014205159123559e-07,1.0752321499359029e-08,0.21166424261501227,0.004153294405841115,-2.992397255767215e-08,1.0789710406306034e-08,,,2.7320860213924985e-08,0.9433303521503474,True,,0.0506333,120.0006,3.25798e-07,9.574523e-06
等两分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等两分钟.csv,beta_plus_linear_drift,2.0,120.0006,2361,0.01926495690780835,2.3954019789958507,9.098674951572893e-06,0.0011313413533063496,-0.019264041025486556,2.395401979046817,2.2287576656521834e-09,1.771660057598406e-11,1.1966283341744888e-08,0.9891287285645605,True,,0.0506333,120.0006,3.25798e-07,9.574523e-06
等两分钟,/Users/griffith/Downloads/ic study/code 2026/CVLabtest/analysis/等两分钟.csv,beta,5.0,120.0006,2301,8.861795440285281e-07,2.8159817064875802e-08,0.11151607696793776,0.0048291688031577296,-2.150280991007817e-07,2.8860306700501727e-08,,,1.7972842845228384e-08,0.9428491484225848,True,,0.0506333,120.0006,3.25798e-07,9.574523e-06
